,location,min_price,max_price,size,uri,prices,gain
604,Gdańsk Sobieszewo,3694,35945,61-90,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d50&size=3&first_month=2010-07-01&last_month=2024-02-01,"['5324', '5207', '5187', '5058', '5225', '5059', '4998', '5065', '4766', '4750', '4708', '4966', '4990', '4448', '4650', '4562', None, None, None, None, None, '4161', '4100', '3902', '4039', '4171', '4530', '4310', '4317', '4451', '4164', '4175', '4183', '3921', '4026', '3816', '3811', '3889', '3947', '3984', '4008', '3914', '3848', '3910', '3948', '3938', '3888', '3881', '3694', '3943', '3842', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '4368', None, None, None, None, None, None, None, None, None, None, None, None, None, '6427', '6490', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '11396', '6080', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",9.73064428803465
350,Gdańsk Rębowo,1077,10411,36-60,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d80&size=2&first_month=2010-07-01&last_month=2024-02-01,"[None, '4074', None, None, None, None, None, None, None, '4371', '3506', '4346', '4124', None, None, '5009', None, None, None, '5198', '5346', '5429', '5158', '4801', '4248', '3433', '3475', '3475', '3311', None, '3311', None, None, None, None, None, '3331', None, None, '4147', None, None, None, None, None, '4979', '5035', '5021', '4988', '3181', '1077', None, '1454', '2586', '1546', '2458', '2467', '3847', '3794', '3113', '3848', '3755', '4081', '1266', '3637', '3696', '4030', '4139', '4306', '4115', '3992', '4770', '4997', '4696', '5243', '4514', '5193', '5772', '5202', '4247', '4476', '4844', None, '5171', '5583', '6060', None, '2353', '7259', None, None, None, None, None, None, None, None, None, None, '7147', '7915', '7058', '7106', '7254', None, '7436', '7287', '7130', '7590', '7432', '7629', '7518', '7483', '7380', '7509', '7579', '7360', '8146', '8153', '8362', '8255', '8195', '8332', '8510', '8494', '8470', '8238', '8698', '9091', '9254', '10148', '10364', '9979', '9969', '10190', '10373', '10411', '10370', None, None, None, None, None, None, None, None, None]",9.666666666666666
73,Gdańsk Rębowo,1544,11155,0-35,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d80&size=1&first_month=2010-07-01&last_month=2024-02-01,"['4792', '5116', '4940', '4851', '4733', None, None, None, None, None, '4503', '4760', '4791', '4680', '4805', None, '6357', '5809', None, None, None, '5675', None, None, None, '5777', None, None, None, None, None, None, None, None, None, None, None, None, None, None, '5466', '1544', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '5827', None, '7059', None, None, None, None, '4417', '4935', '5149', None, '6817', '6701', '6617', '6849', None, '2353', '7259', '7377', None, None, '7868', None, None, None, None, None, None, None, None, None, None, '9106', '9157', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '11155', None, '10389', None, None, None, None, None, None, None, None, None, None, None]",7.224740932642487
57,Gdańsk Jelitkowo,5651,34600,0-35,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d58&size=1&first_month=2010-07-01&last_month=2024-02-01,"['8399', None, '6688', '7730', '7736', None, None, None, None, None, None, None, '10765', '9196', None, None, None, None, None, None, None, None, '5651', '5659', None, None, None, None, '18226', '15793', '12440', '15664', '14492', '12455', '13363', '14916', '8613', '12722', '12377', '13968', '14024', '11415', '11976', '13279', '13809', '14456', '15197', '15707', '12969', '11544', '11971', '11707', '14234', '13214', '7918', '11754', '11376', '14260', None, '11105', None, None, '14505', '13577', '15241', '14917', '10939', '13020', '7397', '13919', '13768', '13051', '12727', '13000', '16259', '18374', '14063', None, None, None, '19416', '18338', '19934', None, None, None, None, None, None, '19541', '18454', None, None, None, None, None, '10048', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '16066', '17000', '17400', '16403', '15643', None, None, '31269', '34600', '34166', '33214', '33600', '33277']",6.122810122102282
76,Gdańsk Dolne Miasto,3912,23871,0-35,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d83&size=1&first_month=2010-07-01&last_month=2024-02-01,"['7021', None, None, None, None, '3912', None, '5832', '6492', '5517', '5188', '4993', '4801', '4998', None, None, None, None, None, '4961', '5993', None, None, None, None, None, None, None, None, '4729', '4885', '4782', '4836', None, None, None, None, None, None, None, None, None, '6961', '6947', None, None, None, None, '5734', '5387', None, None, None, None, '5560', None, None, None, None, '5720', '5758', None, None, None, None, None, None, None, None, None, None, None, None, None, '8819', '7428', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '9313', '9175', None, '10221', '11405', None, None, None, '11086', None, '10496', None, None, None, None, None, None, None, None, None, None, '13216', '14397', '14305', '17134', '16998', None, '16241', '17076', '17115', '16965', '14633', '14778', '14380', '13928', '13692']",6.101993865030675
864,Gdańsk Brzeźno,3728,22617,91+,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d33&size=4&first_month=2010-07-01&last_month=2024-02-01,"['6812', '6837', '6868', '8030', '7474', '7660', '7126', '7096', '7913', '7749', '8287', '8521', '7889', '8324', '6437', '6558', '6635', None, '4846', '6273', '9279', None, '6603', '7424', '8083', '7630', '6181', '6044', '6650', '6026', '5537', '5471', '5384', '5447', '5623', '6020', '6419', '5800', '6075', '5361', '5831', '5599', '4597', '5923', '5503', '5702', '5987', '6189', '9959', '10600', '9218', '10115', '10108', '8815', '9427', '9430', '5857', '6049', '4309', '5540', '11003', '7758', '9268', '11451', '10862', '9145', '4924', '3827', '3877', '3728', '13395', '14843', None, '13262', '12729', '14211', '12837', '14540', '14312', '14549', '15376', '15375', '14997', '17321', '15913', '15993', '14431', '15904', '15525', '15272', '10094', '9764', '12759', '17168', '16570', '15677', '15209', '14972', '15591', '15770', '16000', '16336', '16481', '15016', '16337', '16940', '15910', '14662', '14692', '15267', '15985', '15680', '16323', '15751', '15941', '15647', '15393', '15930', '15233', '15759', '17249', '16787', '15863', '16269', '16123', '15880', '17331', '18404', '17579', '18191', '18660', '20208', '18865', '19995', '19991', '17342', '16865', '16270', '16575', '14963', '15886', '15160', '14319', '15246', '12366', '14095', '12955', '12024', '12035', '12735']",6.0667918454935625
885,Gdańsk Kowale,2457,13055,91+,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d54&size=4&first_month=2010-07-01&last_month=2024-02-01,"['4432', '4485', None, '4701', '3212', '3700', None, None, '4730', None, None, None, '4558', '4736', '3533', '3944', '4134', '4048', '4362', '4042', '4247', '4151', None, '4002', '4055', '3650', '3593', '3660', '3530', None, '3686', '3605', '3601', '4402', '4159', '3675', '2638', '3083', '3083', '3437', '3718', '2643', '3220', '2643', '3049', '3050', '3660', '3014', None, None, '4198', None, None, None, None, None, None, '4438', '4265', '4450', '4136', '4247', '3951', '5647', '4494', '4095', '4200', '4016', '4050', '3933', '4206', '4221', '4144', '4273', '4194', '3876', '4212', '3896', '3947', '5195', '5056', '5479', '4395', '4236', '4572', '4526', '4428', '4588', '4433', '4484', '4472', '4542', '4588', None, None, '5765', '5476', '5162', '4419', None, None, '5152', '4591', '6726', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '13055', '11179', '10527', '10199', '10165', '10165', None, None, None, None, None, None]",5.313390313390314
901,Gdańsk Śródmieście,4648,24504,91+,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d76&size=4&first_month=2010-07-01&last_month=2024-02-01,"['6796', '6703', '6645', '7829', '8016', '8542', '7661', '6961', '8005', '7907', '8488', '8709', '8282', '8081', '6662', '6671', '6310', '8284', '6907', '9064', '6058', '6555', '6974', '7118', '7357', '6804', '6794', '6485', '6486', '6262', '5802', '5829', '5581', '5584', '5925', '5951', '5839', '5778', '5668', '5539', '5520', '5460', '5519', '5180', '5018', '5094', '5070', '5056', '5122', '4957', '4887', '4868', '4756', '4927', '4933', '4984', '5006', '4994', '4833', '4888', '4648', '4924', '4893', '4824', '5030', '5836', '6258', '6260', '6430', '6266', '7116', '7242', '8050', '7733', '7166', '6991', '7332', '7896', '8136', '8047', '8025', '7985', '8140', '8535', '8944', '7768', '8208', '8258', '7872', '8704', '10653', '9891', '8144', '9072', '9419', '9643', '9446', '9695', '9250', '9815', '10237', '9962', '9313', '10844', '10740', '10383', '10554', '9735', '9745', '9561', '9599', '9793', '9778', '10049', '10905', '11301', '11244', '11690', '11873', '11737', '12020', '13939', '13379', '12890', '13868', '15204', '15648', '17758', '15803', '13960', '13192', '14718', '16403', '15091', '17968', '17326', '18009', '19593', '18847', '21242', '20150', '19661', '19378', '18841', '19265', '20672', '19040', '20620', '20790', '24504']",5.271944922547332
322,Gdańsk Sobieszewo,3684,19358,36-60,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d50&size=2&first_month=2010-07-01&last_month=2024-02-01,"['3684', '4162', '4003', '4006', '3872', '3895', '3991', '4156', '3972', '4072', '3847', None, None, None, '4069', '4569', '4341', '4341', '4106', '3866', '4541', '5250', '5081', '5141', '5192', '5089', None, '5368', None, None, '5424', None, None, None, None, None, None, None, None, None, None, None, None, '6875', None, None, None, '4961', None, None, None, None, '6682', '6453', '5980', '6445', '6536', '6173', '6552', '6511', '6524', '6427', '6490', '6778', None, '6742', '6686', '6938', '7084', '7084', '8249', None, '10707', '10588', '10139', '10504', '10053', '10169', '10082', None, None, None, '14654', '11235', '10305', '10631', '12597', '12569', None, '14108', '12259', '11425', '11865', '11975', '11458', '11338', '11826', '11372', '12738', '13039', '10888', '12006', '11040', '11460', '10704', '12338', '16585', '18196', '14093', '12465', '11702', '11702', '14717', '14675', '15091', '14347', None, None, '14541', '11015', '11015']",5.254614549402823
301,Sopot Dolny Sopot,8423,43810,36-60,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d29&size=2&first_month=2010-07-01&last_month=2024-02-01,"['8423', None, None, '9428', '9926', '9894', '10120', '10034', '10518', '10359', '10150', '10309', '10144', '10328', '10340', '9972', '9700', '9777', '9952', '9909', '10444', '9623', '8838', '9344', '10203', '9727', '9754', '9786', '9713', '9527', '9370', '9403', '9518', '9651', '9597', '9613', '9415', '9572', '9321', '9579', '9626', '9658', '9735', '9499', '9752', '9911', '9919', '9747', '9863', '9845', '9900', '9760', '9773', '9822', '9971', '9905', '9715', '9823', '9776', '10183', '9483', '9685', '9521', '9565', '10047', '9674', '10060', '10203', '10721', '10959', '12186', '11736', '11127', '14316', '14752', '13912', '13248', '12398', '12045', '11760', '12683', '12459', '12858', '12894', '13004', '12837', '12890', '13769', '14106', '13845', '14439', '14953', '14787', '13373', '13479', '14139', '14126', '14039', '14126', '13980', '13503', '12505', '13271', '13693', '14457', '14878', '14607', '14498', '14071', '14341', '14205', '14177', '14550', '14754', '14614', '14182', '13381', '13184', '13069', '13229', '13366', '13252', '13454', '13704', '14507', '14578', '14321', '13819', '13949', '14164', '14393', '13384', '13461', '14501', '15292', '15571', '16558', '17436', '18977', '18132', '17337', '16926', '17360', '17056', '16615', '16495', '16681', '17160', '16814', '19086', '19462', '18974', '19258']",5.201234714472278
862,Gdańsk Żabianka,2874,14877,91+,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d31&size=4&first_month=2010-07-01&last_month=2024-02-01,"['6313', None, None, None, None, '2874', None, None, None, None, None, None, None, None, '12084', None, None, None, None, '12098', '12551', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '14877', None, None, None, None, None, '4361', None, None, None, None, None, '9844', None, None, None, None, None, None, None, '8726', '8835', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '9030', '9030', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",5.176409185803758
921,Gdańsk Długie Ogrody,3624,18473,91+,https://dom.trojmiasto.pl/ajax/barometer.json?type=1&localization=d97&size=4&first_month=2010-07-01&last_month=2024-02-01,"['4001', '4098', '4207', '4245', '4298', '3624', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '4249', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, '14060', None, '8229', '9486', '9020', '9825', '8007', '8753', '10785', '11651', '11841', '11871', '13194', '14240', '13214', '13943', '12892', '13027', '13418', '10623', '10286', '12370', '12419', '11764', '11704', '11618', '11230', '11426', '11948', '11053', '10720', '10293', '9911', '10537', '10058', '9996', '10532', '10800', '10422', '10795', '10558', '11231', '11118', '10914', '11099', '11410', '11502', '12278', '12121', '12526', '13557', '13871', '14228', '13853', '12923', '13243', '12263', '11998', '12140', '12676', '12866', '12453', '12583', '12299', '13682', '14628', '14575', '15169', '15093', '16609', '16499', '17059', '16607', '16245', '14880', '15149', '16362', '17285', '18473']",5.097406181015453
